"scale","region","region_label","brightness_column","metric","metric_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_sa","Spectral angle entropy",1903,-0.107988211044135,0.0116614537245125,22.4299898186093,2.34078158038909e-06,-3.65125976299217,2.91461092959892,-0.157826527439162,4.39561269546678e-12
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_alpha","Raw PCA alpha hull",1741,0.673657561604153,0.453814510306453,1444.90003545447,1.17559169131088e-230,33850.971402174,-123.343612204966,0.630094868512014,2.85501155900053e-193
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",1744,0.467099064895977,0.218181536426697,486.138731897153,3.2085990129743e-95,13604.300025496,-104.849516631817,0.532900893098356,1.55637421555918e-128
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_pca_mean","Raw PCA mean distance",1744,0.541587812638138,0.293317358798163,723.03861625556,1.66555801215444e-133,273.340725704221,2.29482554304502,0.49130732712024,1.22725650404967e-106
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_convex","Raw PCA convex hull",1744,0.562675139882687,0.316603313042002,807.031965247241,3.39335271562989e-146,91713.5031315627,-715.48963924519,0.577543934049597,1.03957835919729e-155
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",1744,0.516876616170123,0.267161436343477,635.058313236453,9.76177019564883e-120,846078.647973011,-8700.9491398196,0.533011209800315,1.34864572382715e-128
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",1744,0.554566474494023,0.30754397463273,773.683214794852,3.29948486701375e-141,216110.591482439,-1566.42717319582,0.564633948035323,2.01782574198232e-147
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",1744,0.460659465338372,0.212207143005835,469.24117150113,2.4656973094489e-92,22020.6807282149,119.736122338717,0.359961903139112,1.70022566284226e-54
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",1744,0.27792044085874,0.0772397714471161,145.814348838903,2.67246108401976e-32,13320.0748723772,-115.544344526942,0.211000276855016,5.30216892314015e-19
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_mean","Std PCA mean distance",1744,0.284547498170004,0.0809672787148081,153.47114009603,7.68591292806249e-34,168.224471142213,3.57278717567234,0.136474539812805,1.05246945484788e-08
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_convex","Std PCA convex hull",1744,0.377725586391993,0.142676618615175,289.905390456244,2.96278118814871e-60,133694.48915996,-711.965539033713,0.386110096991556,4.22542100100361e-63
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.339946418522045,0.115563567465966,227.615832094259,1.97100365914686e-48,2561259.13975712,-20634.057821152,0.358241083393083,5.87875437626592e-54
