"scale","region","region_label","brightness_column","metric","metric_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_sa","Spectral angle entropy",1903,-0.107988211044135,0.0116614537245125,22.4299898186093,2.34078158038909e-06,-3.65125976299217,2.91461092959892,-0.157826527439162,4.39561269546678e-12
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_alpha","Raw PCA alpha hull",1741,0.673657561604153,0.453814510306453,1444.90003545447,1.17559169131088e-230,33850.971402174,-123.343612204966,0.630094868512014,2.85501155900053e-193
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",1744,0.467099064895977,0.218181536426697,486.138731897153,3.2085990129743e-95,13604.300025496,-104.849516631817,0.532900893098356,1.55637421555918e-128
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_pca_mean","Raw PCA mean distance",1744,0.541587812638138,0.293317358798163,723.03861625556,1.66555801215444e-133,273.340725704221,2.29482554304502,0.49130732712024,1.22725650404967e-106
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",1744,0.460659465338372,0.212207143005835,469.24117150113,2.4656973094489e-92,22020.6807282149,119.736122338717,0.359961903139112,1.70022566284226e-54
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",1744,0.27792044085874,0.0772397714471161,145.814348838903,2.67246108401976e-32,13320.0748723772,-115.544344526942,0.211000276855016,5.30216892314015e-19
"10m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_mean","Std PCA mean distance",1744,0.284547498170004,0.0809672787148081,153.47114009603,7.68591292806249e-34,168.224471142213,3.57278717567234,0.136474539812805,1.05246945484788e-08
"10m","green","Green illum.","mean_green_pixel_brightness","spec_sa","Spectral angle entropy",1903,-0.132884359699697,0.0176582530527987,34.1717525063856,5.92433673805045e-09,-2.44558968769355,2.95459570616071,-0.148271103034177,8.04296654021705e-11
"10m","green","Green illum.","mean_green_pixel_brightness","spec_alpha","Raw PCA alpha hull",1741,0.758018359358939,0.574591833125218,2348.83877558202,0,20429.3130765,-391.460010538615,0.745618173437149,7.1455726903968e-309
"10m","green","Green illum.","mean_green_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",1744,0.533097355915761,0.284192790884376,691.616171807254,1.20586134637078e-128,8330.61260171658,-218.037034129379,0.71137436141574,4.2094969676908e-269
"10m","green","Green illum.","mean_green_pixel_brightness","spec_pca_mean","Raw PCA mean distance",1744,0.665820456919947,0.443316880853087,1387.24883130913,7.6260148021498e-224,180.300031192251,-0.56490996176187,0.680945757817874,5.90507944259789e-238
"10m","green","Green illum.","mean_green_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",1744,0.482979280664964,0.233268985551646,529.98322119959,1.32035404552095e-102,12387.4652313275,-13.7595446464217,0.432666392058826,1.73711254018521e-80
