"scale","metric","metric_label","n","missing","mean","sd","min","median","max"
"10m","spec_sa","Spectral angle entropy",1903,97,2.84348629452138,0.108447206469231,2.22499525650949,2.82940872341135,3.49761994566626
"10m","spec_alpha","Raw PCA alpha hull",1741,259,534.567043857414,154.322781539048,89.9029574014117,522.24678103202,1526.39690011509
"10m","spec_rao_q","Raw PCA Rao's Q",1744,256,159.529899934456,89.4284481228596,19.7723564784695,146.387804595443,1531.78878956663
"10m","spec_pca_mean","Raw PCA mean distance",1744,256,7.60679759967783,1.5496868625411,2.68966137222922,7.4834619181907,21.6310365662489
"10m","spec_convex","Raw PCA convex hull",1744,256,1066.82642286235,500.476910107818,140.905945573704,962.722372728304,4866.29559742929
"10m","spec_hull3d_v","Raw PCA 3D hull volume",1744,256,7741.33593924165,5026.11407535393,513.290206914752,6625.27033916589,52114.8917521667
"10m","spec_hull3d_a","Raw PCA 3D hull area",1744,256,2633.36200984494,1196.55022190019,384.092670551382,2393.8242634741,12427.0475534853
"10m","spec_spca_alpha","Std PCA alpha hull",1744,256,547.675429205434,146.77741410255,121.103994124579,522.90626044716,1477.58676270914
"10m","spec_spca_rao","Std PCA Rao's Q",1744,256,143.311577260902,147.161656268861,45.6880755396273,114.975530266201,2587.56910341382
"10m","spec_spca_mean","Std PCA mean distance",1744,256,6.84198055198693,1.81527694207233,4.12646328401689,6.53328577262029,31.2935589815454
"10m","spec_spca_convex","Std PCA convex hull",1744,256,1886.18879275795,1086.78989865694,523.842916886431,1579.1440123159,8768.82258884731
"10m","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,256,29140.2191188579,23134.0431967891,5370.0668124152,22244.2529518981,258415.757644472
"10m","spec_spca_hull3d_a","Std PCA 3D hull area",1744,256,5345.85991815275,2856.88316337187,1707.14385584108,4582.80407871215,24654.8603997988
"20m","spec_sa","Spectral angle entropy",485,15,2.83492138674256,0.0977590825723034,2.25241129188898,2.8211963429333,3.19356553594977
"20m","spec_alpha","Raw PCA alpha hull",436,64,652.251517625651,149.048891162682,231.238251513454,637.826271650059,1530.48028668188
"20m","spec_rao_q","Raw PCA Rao's Q",436,64,175.069748662292,68.3554641771003,42.092924556194,162.696366030471,643.930033622274
"20m","spec_pca_mean","Raw PCA mean distance",436,64,8.02056019948861,1.22839241049658,4.02754219486042,7.89586957499061,14.0484042339864
"20m","spec_convex","Raw PCA convex hull",436,64,1459.54381028554,638.009236177207,329.581967937354,1314.38242824027,5520.92719013306
"20m","spec_hull3d_v","Raw PCA 3D hull volume",436,64,12332.4877223115,7349.80808861394,1776.79129377285,10628.7785721376,59132.2217158715
"20m","spec_hull3d_a","Raw PCA 3D hull area",436,64,3617.37262133561,1568.07822728033,902.809246120034,3280.78906438766,13186.0300694253
"20m","spec_spca_alpha","Std PCA alpha hull",436,64,649.468485406869,139.259206775587,384.549461293252,631.501105408438,1235.40039906959
"20m","spec_spca_rao","Std PCA Rao's Q",436,64,153.55632792414,106.591855974266,65.5824935258429,124.972895338367,1051.38687622007
"20m","spec_spca_mean","Std PCA mean distance",436,64,7.08021230950795,1.38066183014379,4.97609868205514,6.81826065858112,16.288882421495
"20m","spec_spca_convex","Std PCA convex hull",436,64,2556.39983601505,1254.454531912,847.710182511391,2212.45444286941,8070.01545358181
"20m","spec_spca_hull3d_v","Std PCA 3D hull volume",436,64,43378.9014920993,28621.619786151,9382.38601576634,34227.7882312771,209796.568473664
"20m","spec_spca_hull3d_a","Std PCA 3D hull area",436,64,7195.12119348455,3343.92632431277,2445.69230270603,6225.49612745985,23121.4873505959
"50m","spec_sa","Spectral angle entropy",80,0,2.84705241628794,0.0761172243011997,2.70940820960493,2.83299059446266,3.14822619129451
"50m","spec_alpha","Raw PCA alpha hull",74,6,729.593767811171,114.614120260238,529.251541422256,700.880327652646,1160.49748641862
"50m","spec_rao_q","Raw PCA Rao's Q",74,6,192.581495366931,43.8274127327322,118.28321674343,181.323868538728,327.844516680076
"50m","spec_pca_mean","Raw PCA mean distance",74,6,8.45889194133598,0.811394135996864,6.73308459730996,8.36042343620789,11.1554597688317
"50m","spec_convex","Raw PCA convex hull",74,6,2014.70469336228,721.815391562491,1058.08037454253,1795.19746424734,4075.20722785046
"50m","spec_hull3d_v","Raw PCA 3D hull volume",74,6,19618.0344647042,8755.98102135352,8194.0198036811,17452.2342421866,48408.0075733477
"50m","spec_hull3d_a","Raw PCA 3D hull area",74,6,4994.09817821734,1753.33586234633,2827.23147612836,4547.32290841952,10053.0043739771
"50m","spec_spca_alpha","Std PCA alpha hull",74,6,693.76952220827,114.688938601212,522.595579859749,658.984402824743,1052.81082719872
"50m","spec_spca_rao","Std PCA Rao's Q",74,6,164.598958040515,67.3358301642419,92.5929585102923,140.429327007031,430.734271311499
"50m","spec_spca_mean","Std PCA mean distance",74,6,7.33178466845151,0.981071027845821,5.90912655417417,7.05352873914171,10.2080467651076
"50m","spec_spca_convex","Std PCA convex hull",74,6,3338.00042655456,1265.40744712244,1552.9298053375,2911.94697065342,7744.28210207835
"50m","spec_spca_hull3d_v","Std PCA 3D hull volume",74,6,59503.5382287011,26077.4460884613,21703.0724298774,52189.981930808,132442.909465245
"50m","spec_spca_hull3d_a","Std PCA 3D hull area",74,6,9298.61621895042,3175.57722461429,4389.41655922484,8372.76880161964,18281.5255891386
